blur_size,noise_level,accuracy,f1,precision_class_immune,precision_class_other,precision_class_stromal,precision_class_tumour
0,0,0.60175,0.5601034127980990,0.6372854914196570,0.40718562874251500,0.5136804942630190,0.6970423661071140
1,0,0.60175,0.5601034127980990,0.6372854914196570,0.40718562874251500,0.5136804942630190,0.6970423661071140
3,0,0.497,0.43035728383506000,0.38326693227091600,0.4015151515151520,0.703030303030303,0.7208171206225680
5,0,0.384,0.2962080552946530,0.3050480024775470,0.4782608695652170,0.6,0.746875
7,0,0.308,0.19975297730966000,0.2726775956284150,0.2857142857142860,0.5789473684210530,0.711864406779661
9,0,0.2875,0.16915117104316700,0.2657621707901040,0.0,0.5526315789473690,0.6435643564356440
19,0,0.25775,0.11744690195271900,0.25505244308007200,0.0,0.45454545454545500,0.3625
0,0.05,0.2355,0.20987820723448400,0.19722425127830500,0.0,0.192090395480226,0.5207100591715980
1,0.05,0.2335,0.20776194898142200,0.19287833827893200,0.0,0.19232547387887200,0.5276073619631900
3,0.05,0.23625,0.21400517277618100,0.16412213740458000,0.0,0.1892292490118580,0.521021021021021
5,0.05,0.243,0.22120676352315600,0.14723467862481300,0.0,0.1917372881355930,0.5335917312661500
7,0.05,0.24775,0.22568045440956200,0.14648829431438100,0.0,0.18819875776397500,0.524022346368715
9,0.05,0.2475,0.22322267000287800,0.14823670053795600,0.0,0.18796992481203000,0.4934804413239720
19,0.05,0.18625,0.1438670527794820,0.1565784704603120,0.0,0.11746987951807200,0.30143014301430100
0,1,0.31375,0.2005725535230910,0.39515151515151500,0.0,0.2925984251968500,0.0
1,1,0.314,0.20049872912399900,0.3946406820950060,0.0,0.2932662051604780,0.0
3,1,0.325,0.2110637228549450,0.4226327944572750,0.0,0.2981168209383980,0.0
5,1,0.32075,0.20842503979820900,0.4220398593200470,0.0,0.2932952017794730,0.0
7,1,0.323,0.21086538344973200,0.4334511189634870,0.0,0.2934264845982850,0.0
9,1,0.3255,0.211973036697876,0.43431952662721900,0.0,0.29635499207607000,0.0
19,1,0.30275,0.1904739895031070,0.42971246006389800,0.0,0.2794423019875410,0.0
0,3,0.25125,0.10303628663003700,0.75,0.0,0.250250501002004,0.0
1,3,0.25125,0.10260523363622800,0.8333333333333330,0.0,0.25037556334501800,0.0
3,3,0.25075,0.10159263741353300,0.6,0.0,0.2503128911138920,0.0
5,3,0.251,0.10207209592375100,1.0,0.0,0.2502502502502500,0.0
7,3,0.2515,0.10356554693545500,0.7,0.0,0.2503759398496240,0.0
9,3,0.251,0.10209014985134400,0.8,0.0,0.2503128911138920,0.0
19,3,0.25,0.1,0.0,0.0,0.25,0.0
0,5,0.25125,0.10264041514041500,0.625,0.0,0.250501002004008,0.0
1,5,0.25075,0.10157408795562300,0.75,0.0,0.2502502502502500,0.0
3,5,0.25025,0.10055854050815300,0.3333333333333330,0.0,0.2501876407305480,0.0
5,5,0.25025,0.10051950450030100,1.0,0.0,0.25006251562890700,0.0
7,5,0.2505,0.10149253731343300,0.6,0.0,0.2500625782227790,0.0
9,5,0.25,0.10004001600640300,0.0,0.0,0.25012506253126600,0.0
19,5,0.25,0.10002000400080000,0.0,0.0,0.25006251562890700,0.0
0,10,0.2525,0.1328945627101060,0.23425692695214100,0.0,0.25451013044685000,0.0
1,10,0.2505,0.1313578881980500,0.24861878453038700,0.0,0.25068719076415600,0.0
3,10,0.24375,0.12635304695404800,0.21354166666666700,0.0,0.2469579646017700,0.0
5,10,0.24625,0.12484150464919700,0.20454545454545500,0.0,0.25027412280701800,0.0
7,10,0.252,0.13399653095502000,0.25857519788918200,0.0,0.25131179232256300,0.0
9,10,0.2475,0.12721181701009200,0.21525885558583100,0.0,0.25075695017891500,0.0
19,10,0.25725,0.1390037133852100,0.2552204176334110,0.0,0.2574950966657330,0.0
0,20,0.2525,0.16457954338189700,0.2516222062004330,0.0,0.2529659395331040,0.0
1,20,0.25825,0.1687350971855630,0.2525737817433080,0.0,0.26150216279984300,0.0
3,20,0.245,0.15930213188225600,0.23608174770965500,0.0,0.2499031383184810,0.0
5,20,0.2615,0.17050561797752800,0.25416666666666700,0.0,0.265625,0.0
7,20,0.24975,0.16187180737302800,0.23768736616702400,0.0,0.2562524047710660,0.0
9,20,0.24975,0.16280873332396100,0.24644886363636400,0.0,0.2515432098765430,0.0
19,20,0.25,0.1644758351289030,0.25508819538670300,0.0,0.24703087885985700,0.0
0,30,0.2445,0.1630289096196970,0.23956799214531200,0.0,0.24961793173713700,0.0
1,30,0.2565,0.17093751042234100,0.257487922705314,0.0,0.255440414507772,0.0
3,30,0.25,0.16655723810927000,0.24929178470255000,0.0,0.2507970244420830,0.0
5,30,0.25125,0.1674839447734920,0.24785918173168400,0.0,0.25500526870389900,0.0
7,30,0.25175,0.16764807708824000,0.254985754985755,0.0,0.2481520591341080,0.0
9,30,0.25025,0.16690525834521300,0.24233983286908100,0.0,0.25947995666305500,0.0
19,30,0.255,0.16994959427545200,0.2539530426449450,0.0,0.25614218504966000,0.0
0,50,0.2575,0.1676702116705030,0.25438269302499100,0.0,0.26383623957543600,0.0
1,50,0.24725,0.1602315316104430,0.2503782148260210,0.0,0.2411504424778760,0.0
3,50,0.2545,0.16634659466902100,0.25028312570781400,0.0,0.2627683197631380,0.0
5,50,0.2465,0.15951910637267100,0.2473997028231800,0.0,0.24464831804281300,0.0
7,50,0.25075,0.1618738989838570,0.2517482517482520,0.0,0.24863600935307900,0.0
9,50,0.2425,0.1577677224736050,0.2388170055452870,0.0,0.2501930501930500,0.0
19,50,0.25425,0.16508015155931200,0.2554716981132080,0.0,0.2518518518518520,0.0